N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Rachel Anne Imison;F;21;167;152,1189608;Australia;Hockey;Hockey Women's Hockey;Gold
Sri Indriyani;F;21;145;105,8218858;Indonesia;Weightlifting;Weightlifting Women's Flyweight;Bronze
Kosei Inoue;M;22;183;220,462262;Japan;Judo;Judo Men's Half-Heavyweight;Gold
Raluca Andreea Ioni;F;24;184;171,9605644;Romania;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Florena Andreea Isrescu;F;16;150;81,57103694;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Taeko Ishikawa;F;24;168;141,0958477;Japan;Softball;Softball Women's Softball;Silver
"Jennifer J. Fetter ""JJ"" Isler";F;36;174;134,4819798;United States;Sailing;Sailing Women's Two Person Dinghy;Silver
Yoko Isoda;F;22;165;125,6634893;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Kazue Ito;F;22;164;136,6866024;Japan;Softball;Softball Women's Softball;Silver
Nataliya Nikolayevna Ivanova;F;29;172;154,3235834;Russia;Taekwondo;Taekwondo Women's Heavyweight;Silver
Lauren Elizabeth Jackson;F;19;196;187,3929227;Australia;Basketball;Basketball Women's Basketball;Silver
Thomas Jacobsen;M;28;194;198,4160358;Denmark;Sailing;Sailing Mixed Three Person Keelboat;Gold
"Robert ""Rob"" Jahrling";M;26;204;211,6437715;Australia;Rowing;Rowing Men's Coxed Eights;Silver
Janeth dos Santos Arcain;F;31;182;147,7097155;Brazil;Basketball;Basketball Women's Basketball;Bronze
Jang Jae-Seong;M;25;173;138,8912251;South Korea;Wrestling;Wrestling Men's Lightweight, Freestyle;Bronze
Jang Seong-Ho;M;22;183;174,165187;South Korea;Baseball;Baseball Men's Baseball;Bronze
Jang Yong-Ho;M;24;171;143,3004703;South Korea;Archery;Archery Men's Team;Gold
Janina Dia Chagas da Conceio;F;27;192;180,7790548;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
"Franciscus Ronaldus Maria ""Ronald"" Jansen";M;36;175;189,5975453;Netherlands;Hockey;Hockey Men's Hockey;Gold
Jyrki Heikki Jrvi;M;34;188;171,9605644;Finland;Sailing;Sailing Mixed Skiff;Gold
arnas Jasikeviius;M;24;193;202,825281;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Kameradin Susanthika Jayasinghe;F;24;168;136,6866024;Sri Lanka;Athletics;Athletics Women's 200 metres;Silver
Carlos Alberto Borges Jayme;M;20;190;198,4160358;Brazil;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Erik Alexander Jazet;M;29;196;189,5975453;Netherlands;Hockey;Hockey Men's Hockey;Gold
Daniel Jdraszko;M;24;192;202,825281;Poland;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Silver
Viktor Jeleni;M;29;203;229,2807525;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Christine Be Jensen;F;25;168;127,868112;Norway;Football;Football Women's Football;Gold
Marcus Christian Jensen;M;27;190;202,825281;United States;Baseball;Baseball Men's Baseball;Gold
Jeon Jong-Gwon;M;21;177;163,1420739;South Korea;Hockey;Hockey Men's Hockey;Silver
Jeon Jong-Ha;M;27;178;165,3466965;South Korea;Hockey;Hockey Men's Hockey;Silver
Jeong Bu-Gyeong;M;22;173;132,2773572;South Korea;Judo;Judo Men's Extra-Lightweight;Silver
Jeong Dae-Hyeon;M;21;185;216,0530168;South Korea;Baseball;Baseball Men's Baseball;Bronze
Jeong Min-Tae;M;30;183;198,4160358;South Korea;Baseball;Baseball Men's Baseball;Bronze
Jeong Seong-Suk;F;28;165;138,8912251;South Korea;Judo;Judo Women's Half-Middleweight;Bronze
Jeong Su-Geun;M;23;178;147,7097155;South Korea;Baseball;Baseball Men's Baseball;Bronze
Ji Seong-Hwan;M;25;184;176,3698096;South Korea;Hockey;Hockey Men's Hockey;Silver
Ji Xinpeng;M;22;181;154,3235834;China;Badminton;Badminton Men's Singles;Gold
Jiang Cuihua;F;25;174;171,9605644;China;Cycling;Cycling Women's 500 metres Time Trial;Bronze
Rei Jimbo;F;26;164;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Soraya Jimnez Mendvil;F;23;153;127,868112;Mexico;Weightlifting;Weightlifting Women's Lightweight;Gold
Jin Pil-Jung;M;27;186;182,9836775;South Korea;Baseball;Baseball Men's Baseball;Bronze
Marek Jiras;M;22;170;132,2773572;Czech Republic-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Jo In-Cheol;M;24;180;178,5744322;South Korea;Judo;Judo Men's Half-Middleweight;Silver
Jo Min-Seon;F;28;175;152,1189608;South Korea;Judo;Judo Women's Middleweight;Bronze
Herman Horn Johannessen;M;36;174;158,7328286;Norway;Sailing;Sailing Mixed Three Person Keelboat;Bronze
Andr Bier Johannpeter;M;37;178;171,9605644;Brazil;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Thomas Mark Mikael Johanson;M;31;181;165,3466965;Finland;Sailing;Sailing Mixed Skiff;Gold
Louise Jhncke (-Tjrnqvist);F;24;175;154,3235834;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
"Richard Andrew ""Butch"" Johnson";M;45;191;216,0530168;United States;Archery;Archery Men's Team;Bronze
Courtney Anne Johnson (Young-);F;26;162;130,0727346;United States;Water Polo;Water Polo Women's Water Polo;Silver
Lawrence Clayton Johnson;M;26;185;189,5975453;United States;Athletics;Athletics Men's Pole Vault;Silver
Michael Duane Johnson;M;33;183;169,7559417;United States;Athletics;Athletics Men's 400 metres;Gold
Leisel Marie Jones;F;15;177;149,9143382;Australia;Swimming;Swimming Women's 100 metres Breaststroke;Silver
Leisel Marie Jones;F;15;177;149,9143382;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Marion Lois Jones (-Hunter, -Montgomery, -Thompson);F;24;178;149,9143382;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Michellie Yvonne Jones;F;31;180;132,2773572;Australia;Triathlon;Triathlon Women's Olympic Distance;Silver
"Stephanie ""Steffi"" Jones";F;27;180;158,7328286;Germany;Football;Football Women's Football;Bronze
"Jos Mara ""Jos Mari"" Romero Poyn";M;21;184;165,3466965;Spain;Football;Football Men's Football;Silver
Silje Jrgensen;F;23;167;132,2773572;Norway;Football;Football Women's Football;Gold
"Ricardo ""Rocky"" Jurez";M;20;178;125,6634893;United States;Boxing;Boxing Men's Featherweight;Silver
Cyril Julian;M;26;206;233,6899977;France;Basketball;Basketball Men's Basketball;Silver
Jung Jae-Eun;F;20;163;123,4588667;South Korea;Taekwondo;Taekwondo Women's Featherweight;Gold
Alina Maratovna Kabayeva;F;17;164;101,4126405;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Bronze
Yevgeny Aleksandrovich Kafelnikov;M;26;191;182,9836775;Russia;Tennis;Tennis Men's Singles;Gold
Akakios Kakiasvili;M;31;176;205,0299037;Greece;Weightlifting;Weightlifting Men's Middle-Heavyweight;Gold
Idriss Carlos Kameni;M;16;184;171,9605644;Cameroon;Football;Football Men's Football;Gold
Zoltn Kammerer;M;22;180;178,5744322;Hungary;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Gold
Zoltn Kammerer;M;22;180;178,5744322;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Anna-Karin Simone Kammerling;F;19;193;149,9143382;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Kang Yong-Gyun;M;26;163;119,0496215;North Korea;Wrestling;Wrestling Men's Bantamweight, Greco-Roman;Bronze
Anik Kntor;F;32;167;125,6634893;Hungary;Handball;Handball Women's Handball;Silver
Denis Viktorovich Kapustin;M;29;190;185,1883001;Russia;Athletics;Athletics Men's Triple Jump;Bronze
Irina Vladimirovna Karavayeva;F;25;165;114,6403762;Russia;Trampolining;Trampolining Women's Individual;Gold
Amiran Kardanov;M;24;162;119,0496215;Greece;Wrestling;Wrestling Men's Bantamweight, Freestyle;Bronze
Murat Nausbiyevich Kardanov;M;29;178;167,5513191;Russia;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Gold
Aleksandr Aleksandrovich Karelin;M;32;193;218,2576394;Russia;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Silver
Karin Rodrigues;F;28;187;169,7559417;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
"Zakharoula ""Zara"" Karyami";F;17;166;94,79877266;Greece;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Tams Kss;M;24;200;207,2345263;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Ktia Andreia Caldeira Lopes;F;27;172;141,0958477;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
Aleksey Valeryevich Kazakov;M;24;217;224,8715072;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Anastasia Kelesidou;F;27;192;202,825281;Greece;Athletics;Athletics Women's Discus Throw;Silver
Klete D. Keller;M;18;198;213,8483941;United States;Swimming;Swimming Men's 400 metres Freestyle;Bronze
Klete D. Keller;M;18;198;213,8483941;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Kelly Silva dos Santos;F;20;193;202,825281;Brazil;Basketball;Basketball Women's Basketball;Bronze
Shane John Kelly;M;28;182;187,3929227;Australia;Cycling;Cycling Men's 1,000 metres Time Trial;Bronze
Kely Kolasco Fraga;F;25;193;174,165187;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
Barbara Anne Kendall;F;33;168;127,868112;New Zealand;Sailing;Sailing Women's Windsurfer;Bronze
Johan Kenkhuis;M;20;185;160,9374513;Netherlands;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
"Konstantinos ""Kostas"" Kenteris";M;27;180;160,9374513;Greece;Athletics;Athletics Men's 200 metres;Gold
Artyom Aleksandrovich Khadzhibekov;M;30;173;147,7097155;Russia;Shooting;Shooting Men's Air Rifle, 10 metres;Silver
Vadim Anatolyevich Khamuttskikh;M;30;196;187,3929227;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Ioanna Khatziioannou;F;26;163;138,8912251;Greece;Weightlifting;Weightlifting Women's Middleweight;Bronze
Oleg Viktorovich Khodkov;M;26;196;198,4160358;Russia;Handball;Handball Men's Handball;Gold
Yekaterina Anatolyevna Khodotovich-Karsten;F;28;185;176,3698096;Belarus;Rowing;Rowing Women's Single Sculls;Gold
Svetlana Vasilyevna Khorkina;F;21;165;103,6172631;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Svetlana Vasilyevna Khorkina;F;21;165;103,6172631;Russia;Gymnastics;Gymnastics Women's Floor Exercise;Silver
Svetlana Vasilyevna Khorkina;F;21;165;103,6172631;Russia;Gymnastics;Gymnastics Women's Uneven Bars;Gold
"Evangelia ""Eva"" Khristodoulou";F;16;163;99,2080179;Greece;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Jason Frederick Kidd;M;27;193;211,6437715;United States;Basketball;Basketball Men's Basketball;Gold
Kerstin Kielga;F;30;179;136,6866024;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"rika Kelly ""Kiki"" Pereira Coimbra";F;20;179;147,7097155;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
Kim Cheong-Hwan;M;29;175;163,1420739;South Korea;Hockey;Hockey Men's Hockey;Silver
Kim Cheong-Tae;M;20;180;154,3235834;South Korea;Archery;Archery Men's Team;Gold
Kim Dong-Ju;M;24;180;216,0530168;South Korea;Baseball;Baseball Men's Baseball;Bronze
Kim Dong-Mun;M;24;184;163,1420739;South Korea-2;Badminton;Badminton Men's Doubles;Bronze
Kim Gi-Tae;M;31;180;171,9605644;South Korea;Baseball;Baseball Men's Baseball;Bronze
Kim Gyeong-Hun;M;25;196;185,1883001;South Korea;Taekwondo;Taekwondo Men's Heavyweight;Gold
Kim Gyeong-Seok;M;28;177;160,9374513;South Korea;Hockey;Hockey Men's Hockey;Silver
Kim Han-Su;M;28;186;194,0067906;South Korea;Baseball;Baseball Men's Baseball;Bronze
Kim In-Seop;M;27;160;127,868112;South Korea;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Silver
Kim Jeong-Cheol;M;23;172;149,9143382;South Korea;Hockey;Hockey Men's Hockey;Silver
Kim Mu-Gyo;F;25;174;130,0727346;South Korea-1;Table Tennis;Table Tennis Women's Doubles;Bronze
Kim Nam-Sun;F;20;170;143,3004703;South Korea;Archery;Archery Women's Individual;Silver
Kim Nam-Sun;F;20;170;143,3004703;South Korea;Archery;Archery Women's Team;Gold
Kim Seon-Yeong;F;21;173;205,0299037;South Korea;Judo;Judo Women's Heavyweight;Bronze
Kim Su-Gyeong;M;21;183;178,5744322;South Korea;Baseball;Baseball Men's Baseball;Bronze
Kim Su-Nyeong;F;29;165;127,868112;South Korea;Archery;Archery Women's Individual;Bronze
Kim Su-Nyeong;F;29;165;127,868112;South Korea;Archery;Archery Women's Team;Gold
Kim Tae-Gyun;M;29;176;167,5513191;South Korea;Baseball;Baseball Men's Baseball;Bronze
Kim Un-Chol;M;20;162;105,8218858;North Korea;Boxing;Boxing Men's Light-Flyweight;Bronze
Kim Yeong-Ho;M;29;180;154,3235834;South Korea;Fencing;Fencing Men's Foil, Individual;Gold
Kim Yong-Bae;M;26;171;149,9143382;South Korea;Hockey;Hockey Men's Hockey;Silver
Kim Yun;M;26;185;182,9836775;South Korea;Hockey;Hockey Men's Hockey;Silver
Mario Csar Kindeln Mesa;M;29;165;132,2773572;Cuba;Boxing;Boxing Men's Lightweight;Gold
Orestes Kindeln Olivares;M;35;190;189,5975453;Cuba;Baseball;Baseball Men's Baseball;Silver
"Thomas Jack ""Tom"" King";M;27;181;141,0958477;Australia;Sailing;Sailing Men's Two Person Dinghy;Gold
"Michael Arthur ""Mike"" Kinkade";M;27;182;209,4391489;United States;Baseball;Baseball Men's Baseball;Gold
Wilson Kosgei Kipketer;M;27;182;138,8912251;Denmark;Athletics;Athletics Men's 800 metres;Silver
"William Ashley ""Bill"" Kirby";M;25;180;169,7559417;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Tanyu Khristov Kiryakov;M;37;182;198,4160358;Bulgaria;Shooting;Shooting Men's Free Pistol, 50 metres;Gold
Mariya Aleksandrovna Kiselyova;F;25;174;127,868112;Russia;Synchronized Swimming;Synchronized Swimming Women's Duet;Gold
Mariya Aleksandrovna Kiselyova;F;25;174;127,868112;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
"Gergely ""Gerg"" Kiss";M;22;198;246,9177334;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Lotte Faldborg Kirskou;F;25;178;147,7097155;Denmark;Handball;Handball Women's Handball;Gold
Tonje Kjrgaard (-Petersen);F;25;170;158,7328286;Denmark;Handball;Handball Women's Handball;Gold
Michael George Klim;M;23;191;178,5744322;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Michael George Klim;M;23;191;178,5744322;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Michael George Klim;M;23;191;178,5744322;Australia;Swimming;Swimming Men's 100 metres Butterfly;Silver
Michael George Klim;M;23;191;178,5744322;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Yana Oleksandrivna Klochkova;F;18;182;154,3235834;Ukraine;Swimming;Swimming Women's 800 metres Freestyle;Silver
Yana Oleksandrivna Klochkova;F;18;182;154,3235834;Ukraine;Swimming;Swimming Women's 200 metres Individual Medley;Gold
Yana Oleksandrivna Klochkova;F;18;182;154,3235834;Ukraine;Swimming;Swimming Women's 400 metres Individual Medley;Gold
Andreas Klden;M;25;183;141,0958477;Germany;Cycling;Cycling Men's Road Race, Individual;Bronze
Sergey Petrovich Klyugin;M;26;192;180,7790548;Russia;Athletics;Athletics Men's High Jump;Gold
Monica Knudsen;F;25;167;149,9143382;Norway;Football;Football Women's Football;Gold
Rita Kbn;F;35;174;152,1189608;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Yoshimi Kobayashi;F;32;164;141,0958477;Japan;Softball;Softball Women's Softball;Silver
Lars Kober;M;23;183;174,165187;Germany;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Sebastian Kber;M;21;192;224,8715072;Germany;Boxing;Boxing Men's Heavyweight;Bronze
Beatrix Kkny (-Imre);F;31;180;152,1189608;Hungary;Handball;Handball Women's Handball;Silver
Eduard Aleksandrovich Koksharov;M;24;186;191,8021679;Russia;Handball;Handball Men's Handball;Gold
Anastasiya Nikolayevna Kolesnikova;F;16;147;74,95716908;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Michael (-Mikhail) Kolganov;M;25;185;196,2114132;Israel;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Bronze
Janne Kolling (-Johannesen);F;32;173;138,8912251;Denmark;Handball;Handball Women's Handball;Gold
Pavel Anatolyevich Kolobkov;M;30;182;165,3466965;Russia;Fencing;Fencing Men's epee, Individual;Gold
Gyrgy Kolonics;M;28;180;176,3698096;Hungary;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Gold
Kong Linghui;M;24;175;145,5050929;China;Table Tennis;Table Tennis Men's Singles;Gold
Kong Linghui;M;24;175;145,5050929;China-1;Table Tennis;Table Tennis Men's Doubles;Silver
Rita Knig (-Rmer);F;23;170;141,0958477;Germany;Fencing;Fencing Women's Foil, Individual;Silver
Rita Knig (-Rmer);F;23;170;141,0958477;Germany;Fencing;Fencing Women's Foil, Team;Bronze
Sofiya Yevgenyevna Konukh;F;20;173;134,4819798;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Alison Jennifer Korn;F;29;185;174,165187;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Mariya Viktorovna Korolyova;F;25;172;147,7097155;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Robert Marek Korzeniowski;M;32;168;132,2773572;Poland;Athletics;Athletics Men's 20 kilometres Walk;Gold
Robert Marek Korzeniowski;M;32;168;132,2773572;Poland;Athletics;Athletics Men's 50 kilometres Walk;Gold
Shiori Koseki;F;28;163;132,2773572;Japan;Softball;Softball Women's Softball;Silver
Reuben Seroney Kosgei;M;21;170;121,2542441;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Gold
Zoltn Ksz;M;32;192;205,0299037;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Andriy Mykolaiovych Kotelnyk;M;22;171;132,2773572;Ukraine;Boxing;Boxing Men's Lightweight;Silver
Wiradech Kothny;M;21;182;174,165187;Germany;Fencing;Fencing Men's Sabre, Individual;Bronze
Wiradech Kothny;M;21;182;174,165187;Germany;Fencing;Fencing Men's Sabre, Team;Bronze
Olga Ivanovna Kotlyarova;F;24;180;145,5050929;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Tatyana Vladimirovna Kotova;F;23;182;130,0727346;Russia;Athletics;Athletics Women's Long Jump;Bronze
Grzegorz Leon Kotowicz;M;27;187;187,3929227;Poland;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Slobodan Kova;M;33;197;187,3929227;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
gnes Kovcs;F;19;178;138,8912251;Hungary;Swimming;Swimming Women's 200 metres Breaststroke;Gold
Katalin Kovcs;F;24;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Silver
Katalin Kovcs;F;24;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
"Kristina Ann ""Kristy"" Kowal";F;21;182;145,5050929;United States;Swimming;Swimming Women's 200 metres Breaststroke;Silver
Daniel Steven Kowalski;M;25;180;167,5513191;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Manja Kowalski;F;24;185;165,3466965;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Kerstin Kowalski-El-Qalqili;F;24;176;143,3004703;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Nikolay Nikolayevich Kozlov;M;28;192;202,825281;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Szymon Piotr Koecki;M;18;181;207,2345263;Poland;Weightlifting;Weightlifting Men's Middle-Heavyweight;Silver
Krzysztof Marek Koomaski;M;27;169;152,1189608;Poland-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Karen Kraft (-Rigsby);F;31;177;156,528206;United States;Rowing;Rowing Women's Coxless Pairs;Bronze
"Rudolf ""Rudi"" Kraj";M;22;186;178,5744322;Czech Republic;Boxing;Boxing Men's Light-Heavyweight;Silver
Lenny Krayzelburg;M;24;187;191,8021679;United States;Swimming;Swimming Men's 100 metres Backstroke;Gold
Lenny Krayzelburg;M;24;187;191,8021679;United States;Swimming;Swimming Men's 200 metres Backstroke;Gold
Lenny Krayzelburg;M;24;187;191,8021679;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Gril Kringen;F;28;153;116,8449989;Norway;Football;Football Women's Football;Gold
Rick Michael Krivda;M;30;185;185,1883001;United States;Baseball;Baseball Men's Baseball;Gold
Denis Ivanovich Krivoshlykov;M;29;180;187,3929227;Russia;Handball;Handball Men's Handball;Gold
Frantz Kruger;M;25;203;286,6009406;South Africa;Athletics;Athletics Men's Discus Throw;Bronze
Jens Kruppa;M;24;200;209,4391489;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Nikolay Vyacheslavovich Kryukov;M;21;164;130,0727346;Russia;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Eldar-Luk'a K'urt'anidze;M;28;173;211,6437715;Georgia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Bronze
Tomasz Bogusaw Kucharski;M;26;181;158,7328286;Poland;Rowing;Rowing Men's Lightweight Double Sculls;Gold
Vasily Aleksandrovich Kudinov;M;31;195;220,462262;Russia;Handball;Handball Men's Handball;Gold
Anita Kulcsr (-Kldi);F;23;178;154,3235834;Hungary;Handball;Handball Women's Handball;Silver
