Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Gza Imre;M;29;184;165,3466965;Hungary;Fencing;Fencing Men's epee, Team;Silver
Kenji Inoue;M;27;172;132,2773572;Japan;Wrestling;Wrestling Men's Lightweight, Freestyle;Bronze
Masaki Inoue;M;25;179;171,9605644;Japan;Cycling;Cycling Men's Team Sprint;Silver
Vladimir Vyacheslavovich Isakov;M;34;178;182,9836775;Russia;Shooting;Shooting Men's Air Pistol, 10 metres;Bronze
Hirotoshi Ishii;M;26;181;209,4391489;Japan;Baseball;Baseball Men's Baseball;Bronze
Yelena Gadzhiyevna Isinbayeva;F;22;174;141,0958477;Russia;Athletics;Athletics Women's Pole Vault;Gold
Ahmed Ismail El Shamy;M;28;183;178,5744322;Egypt;Boxing;Boxing Men's Light-Heavyweight;Bronze
Kazue Ito;F;26;164;136,6866024;Japan;Softball;Softball Women's Softball;Bronze
Vitaly Vladimirovich Ivanov;M;28;194;202,825281;Russia;Handball;Handball Men's Handball;Bronze
Nataliya Nikolayevna Ivanova;F;23;183;149,9143382;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Olimpiada Vladimirovna Ivanova;F;33;160;110,231131;Russia;Athletics;Athletics Women's 20 kilometres Walk;Silver
Allen Ezail Iverson;M;29;182;182,9836775;United States;Basketball;Basketball Men's Basketball;Bronze
Yumi Iwabuchi;F;24;165;132,2773572;Japan;Softball;Softball Women's Softball;Bronze
Hisashi Iwakuma;M;23;190;167,5513191;Japan;Baseball;Baseball Men's Baseball;Bronze
Hitoki Iwase;M;29;180;163,1420739;Japan;Baseball;Baseball Men's Baseball;Bronze
Hiroshi Izumi;M;22;173;198,4160358;Japan;Judo;Judo Men's Middleweight;Silver
Jri Jaanson;M;38;192;211,6437715;Estonia;Rowing;Rowing Men's Single Sculls;Silver
Lauren Elizabeth Jackson;F;23;196;187,3929227;Australia;Basketball;Basketball Women's Basketball;Silver
Sada Molly Jacobson (-Bby);F;21;170;154,3235834;United States;Fencing;Fencing Women's Sabre, Individual;Bronze
Godday James;M;20;170;158,7328286;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
LeBron Raymone James;M;19;203;251,3269787;United States;Basketball;Basketball Men's Basketball;Bronze
Jang Ji-Won;F;24;174;125,6634893;South Korea;Taekwondo;Taekwondo Women's Featherweight;Gold
Jang Mi-Ran;F;20;170;260,1454692;South Korea;Weightlifting;Weightlifting Women's Super-Heavyweight;Silver
Jang Seong-Ho;M;26;190;220,462262;South Korea;Judo;Judo Men's Half-Heavyweight;Silver
Jang So-Hui;F;26;163;132,2773572;South Korea;Handball;Handball Women's Handball;Silver
Jang Yong-Ho;M;28;171;143,3004703;South Korea;Archery;Archery Men's Team;Gold
Torsten Johannes Jansen;M;27;185;196,2114132;Germany;Handball;Handball Men's Handball;Silver
"Rebecca ""Becky"" Jasontek (-Tomsic)";F;29;162;127,868112;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Erik Alexander Jazet;M;33;196;189,5975453;Netherlands;Hockey;Hockey Men's Hockey;Silver
Fabrice Jeannet;M;23;193;187,3929227;France;Fencing;Fencing Men's epee, Team;Gold
Jrme Jeannet;M;27;190;187,3929227;France;Fencing;Fencing Men's epee, Team;Gold
Otylia Jdrzejczak;F;20;187;160,9374513;Poland;Swimming;Swimming Women's 400 metres Freestyle;Silver
Otylia Jdrzejczak;F;20;187;160,9374513;Poland;Swimming;Swimming Women's 100 metres Butterfly;Silver
Otylia Jdrzejczak;F;20;187;160,9374513;Poland;Swimming;Swimming Women's 200 metres Butterfly;Gold
Richard Allen Jefferson;M;24;203;224,8715072;United States;Basketball;Basketball Men's Basketball;Bronze
"Rhiannon ""Rhi"" Jeffrey";F;17;182;167,5513191;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Viktor Jeleni;M;33;203;229,2807525;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Dorte Oppelstrup Jensen;F;31;167;165,3466965;Denmark;Sailing;Sailing Women's Three Person Keelboat;Bronze
Larsen Alan Jensen;M;18;185;194,0067906;United States;Swimming;Swimming Men's 1,500 metres Freestyle;Silver
Trine Jensen (-Skovgaard Nielsen);F;23;176;154,3235834;Denmark;Handball;Handball Women's Handball;Gold
Jeong Ji-Hyeon;M;21;165;132,2773572;South Korea;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Gold
Helle Mller Jespersen;F;36;176;147,7097155;Denmark;Sailing;Sailing Women's Three Person Keelboat;Bronze
Jia Zhanbo;M;30;176;178,5744322;China;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Gold
Jiang Yonghua;F;30;167;149,9143382;China;Cycling;Cycling Women's 500 metres Time Trial;Silver
Juan Antonio Jimnez Cobo;M;45;178;154,3235834;Spain;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Jin Jong-O;M;24;175;171,9605644;South Korea;Shooting;Shooting Men's Free Pistol, 50 metres;Silver
David Jirka;M;22;190;198,4160358;Czech Republic;Rowing;Rowing Men's Quadruple Sculls;Silver
Jo Seok-Hwan;M;24;170;119,0496215;South Korea;Boxing;Boxing Men's Featherweight;Bronze
Kenji Johjima;M;28;182;189,5975453;Japan;Baseball;Baseball Men's Baseball;Bronze
"Katherine ""Kate"" Johnson";F;25;177;163,1420739;United States;Rowing;Rowing Women's Coxed Eights;Silver
Shannon Regina Johnson;F;29;182;178,5744322;United States;Basketball;Basketball Women's Basketball;Gold
Yudel Johnson Cedeno;M;23;158;141,0958477;Cuba;Boxing;Boxing Men's Light-Welterweight;Silver
Predrag Joki;M;21;188;224,8715072;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Leisel Marie Jones;F;18;177;149,9143382;Australia;Swimming;Swimming Women's 100 metres Breaststroke;Bronze
Leisel Marie Jones;F;18;177;149,9143382;Australia;Swimming;Swimming Women's 200 metres Breaststroke;Silver
Leisel Marie Jones;F;18;177;149,9143382;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
"Stephanie ""Steffi"" Jones";F;31;180;158,7328286;Germany;Football;Football Women's Football;Bronze
Frdrique Chantal Marthe Jossinet;F;28;160;105,8218858;France;Judo;Judo Women's Extra-Lightweight;Silver
Kara Lynn Joyce;F;18;183;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Kara Lynn Joyce;F;18;183;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Juliana Ribeiro Cabral;F;22;169;132,2773572;Brazil;Football;Football Women's Football;Silver
"Robert William ""Bobby"" Julich";M;32;182;149,9143382;United States;Cycling;Cycling Men's Individual Time Trial;Silver
"Lovieanne ""Lovie"" Jung";F;24;168;141,0958477;United States;Softball;Softball Women's Softball;Gold
Michael Jurack;M;25;190;220,462262;Germany;Judo;Judo Men's Half-Heavyweight;Bronze
Alina Maratovna Kabayeva;F;21;164;101,4126405;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Gold
"Nikolaos ""Nikos"" Kaklamanakis";M;35;177;154,3235834;Greece;Sailing;Sailing Men's Windsurfer;Silver
Nika Kaleb;M;31;184;189,5975453;Croatia;Handball;Handball Men's Handball;Gold
Hanna Heorhivna Kalinina;F;25;172;165,3466965;Ukraine;Sailing;Sailing Women's Three Person Keelboat;Silver
Elena Kalisk;F;32;172;143,3004703;Slovakia;Canoeing;Canoeing Women's Kayak Singles, Slalom;Gold
Mariya Lvovna Kalmykova;F;30;190;176,3698096;Russia;Basketball;Basketball Women's Basketball;Bronze
Wandee Kameaim;F;26;150;127,868112;Thailand;Weightlifting;Weightlifting Women's Lightweight;Bronze
Zoltn Kammerer;M;26;180;178,5744322;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Makoto Kaneko;M;28;185;176,3698096;Japan;Baseball;Baseball Men's Baseball;Bronze
Chris Kappler;M;37;190;158,7328286;United States;Equestrianism;Equestrianism Mixed Jumping, Individual;Silver
Chris Kappler;M;37;190;158,7328286;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Eftykhia Karagianni;F;30;168;134,4819798;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Yousef Karami;M;21;183;176,3698096;Iran;Taekwondo;Taekwondo Men's Welterweight;Bronze
Angeliki Karapataki;F;29;170;127,868112;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Tom Karas;M;29;200;213,8483941;Czech Republic;Rowing;Rowing Men's Quadruple Sculls;Silver
Dmitry Vasilyevich Karpov;M;23;198;216,0530168;Kazakhstan;Athletics;Athletics Men's Decathlon;Bronze
Yelena Viktorovna Karpova;F;24;188;160,9374513;Russia;Basketball;Basketball Women's Basketball;Bronze
Sylvia Jeanne Alice Karres;F;27;163;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Silver
Tams Kss;M;28;200;207,2345263;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Zarema Abukarovna Kasayeva;F;17;160;152,1189608;Russia;Weightlifting;Weightlifting Women's Light-Heavyweight;Bronze
Takehiro Kashima;M;24;168;136,6866024;Japan;Gymnastics;Gymnastics Men's Team All-Around;Gold
Takehiro Kashima;M;24;168;136,6866024;Japan;Gymnastics;Gymnastics Men's Pommelled Horse;Bronze
Naoko Kawashima;F;23;163;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Aleksey Valeryevich Kazakov;M;28;217;224,8715072;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Sergey Nikolayevich Kazakov;M;28;168;105,8218858;Russia;Boxing;Boxing Men's Light-Flyweight;Bronze
"Mebrahtom R. ""Meb"" Keflezighi";M;29;166;123,4588667;United States;Athletics;Athletics Men's Marathon;Silver
Florian Stefan Kehrmann;M;27;186;187,3929227;Germany;Handball;Handball Men's Handball;Silver
Naman Keta (Benzama-);M;26;196;189,5975453;France;Athletics;Athletics Men's 400 metres Hurdles;Bronze
Anastasia Kelesidou;F;31;192;202,825281;Greece;Athletics;Athletics Women's Discus Throw;Silver
Klete D. Keller;M;22;198;213,8483941;United States;Swimming;Swimming Men's 400 metres Freestyle;Bronze
Klete D. Keller;M;22;198;213,8483941;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Natascha Keller;F;27;170;152,1189608;Germany;Hockey;Hockey Women's Hockey;Gold
Larry Jamill Kelly;M;26;170;145,5050929;United States;Wrestling;Wrestling Men's Welterweight, Freestyle;Silver
Shane John Kelly;M;32;182;187,3929227;Australia;Cycling;Cycling Men's Keirin;Bronze
Kelly Cristina Pereira da Silva;F;19;164;121,2542441;Brazil;Football;Football Women's Football;Silver
Ezekiel Kemboi Cheboi;M;22;167;114,6403762;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Gold
Heike Kemmer;F;42;172;138,8912251;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Marko Kemppainen;M;28;184;220,462262;Finland;Shooting;Shooting Men's Skeet;Silver
Johan Kenkhuis;M;24;185;160,9374513;Netherlands;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
"Daniel ""Dan"" Ketchum";M;22;193;209,4391489;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Elenora Valerieva Kezhova;F;18;173;110,231131;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Irina Sergeyevna Khabarova;F;38;170;138,8912251;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Fani Khalkia;F;25;174;132,2773572;Greece;Athletics;Athletics Women's 400 metres Hurdles;Gold
Vadim Anatolyevich Khamuttskikh;M;34;196;187,3929227;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Amir Iqbal Khan;M;17;178;132,2773572;Great Britain;Boxing;Boxing Men's Lightweight;Silver
Khashbaataryn Tsagaanbaatar;M;20;171;138,8912251;Mongolia;Judo;Judo Men's Extra-Lightweight;Bronze
Elvira Ramilevna Khasyanova;F;23;163;125,6634893;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Utkirbek Khaydarov;M;30;186;158,7328286;Uzbekistan;Boxing;Boxing Men's Light-Heavyweight;Bronze
Nest'or Khergiani;M;29;160;132,2773572;Georgia;Judo;Judo Men's Extra-Lightweight;Silver
Yekaterina Anatolyevna Khodotovich-Karsten;F;32;185;176,3698096;Belarus;Rowing;Rowing Women's Single Sculls;Silver
Svetlana Vasilyevna Khorkina;F;25;165;103,6172631;Russia;Gymnastics;Gymnastics Women's Individual All-Around;Silver
Svetlana Vasilyevna Khorkina;F;25;165;103,6172631;Russia;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Murat Petrovich Khrachov;M;21;173;132,2773572;Russia;Boxing;Boxing Men's Lightweight;Bronze
Taras Yuryevich Khtey;M;22;205;240,3038656;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Nicolas Kiefer;M;27;182;176,3698096;Germany;Tennis;Tennis Men's Doubles;Silver
Kim Cha-Yeon;F;23;173;147,7097155;South Korea;Handball;Handball Women's Handball;Silver
Kim Dae-Eun;M;19;163;127,868112;South Korea;Gymnastics;Gymnastics Men's Individual All-Around;Silver
Kim Dong-Mun;M;28;184;163,1420739;South Korea-2;Badminton;Badminton Men's Doubles;Gold
Kim Gyeong-A;F;27;165;127,868112;South Korea;Table Tennis;Table Tennis Women's Singles;Bronze
Kim Hyang-Mi;F;24;158;127,868112;North Korea;Table Tennis;Table Tennis Women's Singles;Silver
Kim Hyeon-Ok;F;30;168;127,868112;South Korea;Handball;Handball Women's Handball;Silver
Kim Jeong-Ju;M;22;170;152,1189608;South Korea;Boxing;Boxing Men's Welterweight;Bronze
Kim Jong-Su;M;27;166;147,7097155;North Korea;Shooting;Shooting Men's Free Pistol, 50 metres;Bronze
Kim Song-Guk;M;20;177;141,0958477;North Korea;Boxing;Boxing Men's Featherweight;Silver
"Nicholas Andrew ""Nick"" Kimpton";M;20;185;187,3929227;Australia;Baseball;Baseball Men's Baseball;Silver
Takuya Kimura;M;32;172;171,9605644;Japan;Baseball;Baseball Men's Baseball;Bronze
Mario Csar Kindeln Mesa;M;33;165;132,2773572;Cuba;Boxing;Boxing Men's Lightweight;Gold
Brendan Robert Kingman;M;31;186;246,9177334;Australia;Baseball;Baseball Men's Baseball;Silver
Artyom Kiouregkian;M;27;157;121,2542441;Greece;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Bronze
Eliud Kipchoge;M;19;167;125,6634893;Kenya;Athletics;Athletics Men's 5,000 metres;Bronze
Wilson Kosgei Kipketer;M;31;182;138,8912251;Denmark;Athletics;Athletics Men's 800 metres;Bronze
Brimin Kiprop (Firmin-) Kipruto;M;19;175;121,2542441;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Silver
Hajnalka Kiraly-Picot;F;33;169;121,2542441;France;Fencing;Fencing Women's epee, Team;Bronze
Tara Kirk;F;22;167;143,3004703;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Mariya Aleksandrovna Kiselyova;F;29;174;127,868112;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
"Gergely ""Gerg"" Kiss";M;26;198;246,9177334;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Kosuke Kitajima;M;21;178;160,9374513;Japan;Swimming;Swimming Men's 100 metres Breaststroke;Gold
Kosuke Kitajima;M;21;178;160,9374513;Japan;Swimming;Swimming Men's 200 metres Breaststroke;Gold
Kosuke Kitajima;M;21;178;160,9374513;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Kanako Kitao;F;22;161;114,6403762;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Lotte Faldborg Kirskou;F;29;178;147,7097155;Denmark;Handball;Handball Women's Handball;Gold
Karel Klaver;M;25;187;187,3929227;Netherlands;Hockey;Hockey Men's Hockey;Silver
Denise Klecker (-Rutschmann);F;32;172;156,528206;Germany;Hockey;Hockey Women's Hockey;Gold
Nadine Kleinert-Schmitt;F;28;190;198,4160358;Germany;Athletics;Athletics Women's Shot Put;Silver
Michael George Klim;M;26;191;178,5744322;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Yana Oleksandrivna Klochkova;F;22;182;154,3235834;Ukraine;Swimming;Swimming Women's 200 metres Individual Medley;Gold
Yana Oleksandrivna Klochkova;F;22;182;154,3235834;Ukraine;Swimming;Swimming Women's 400 metres Individual Medley;Gold
Carolina Evelyn Klft;F;21;178;143,3004703;Sweden;Athletics;Athletics Women's Heptathlon;Gold
Mark William Knowles;M;19;183;163,1420739;Australia;Hockey;Hockey Men's Hockey;Gold
Ko Lai Chak;M;28;165;134,4819798;Hong Kong-2;Table Tennis;Table Tennis Men's Doubles;Silver
Masahide Kobayashi;M;30;182;194,0067906;Japan;Baseball;Baseball Men's Baseball;Bronze
Stefan Kobel;M;30;190;196,2114132;Switzerland-2;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
Paul Kipsiele Koech;M;22;170;132,2773572;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Bronze
"Renata Aparacida ""Kki"" da Costa";F;18;171;149,9143382;Brazil;Football;Football Women's Football;Silver
Eduard Aleksandrovich Koksharov;M;28;186;191,8021679;Russia;Handball;Handball Men's Handball;Bronze
Pavel Anatolyevich Kolobkov;M;34;182;165,3466965;Russia;Fencing;Fencing Men's epee, Individual;Bronze
Gyrgy Kolonics;M;32;180;176,3698096;Hungary;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Yuliya Nikolayevna Koltunova;F;15;156;94,79877266;Russia;Diving;Diving Women's Synchronized Platform;Silver
Stanislava Stanislavovna Komarova;F;18;182;130,0727346;Russia;Swimming;Swimming Women's 200 metres Backstroke;Silver
Rachel Komisarz;F;27;172;143,3004703;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Rachel Komisarz;F;27;172;143,3004703;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
David Kopiva;M;24;192;196,2114132;Czech Republic;Rowing;Rowing Men's Quadruple Sculls;Silver
Laurel V. Korholz;F;34;187;169,7559417;United States;Rowing;Rowing Women's Coxed Eights;Silver
Ilona Kalyuvna Korstin;F;24;183;147,7097155;Russia;Basketball;Basketball Women's Basketball;Bronze
Robert Marek Korzeniowski;M;36;168;132,2773572;Poland;Athletics;Athletics Men's 50 kilometres Walk;Gold
Aleksandr Borisovich Kosaryev;M;26;203;209,4391489;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Annabel Kosten;F;27;180;154,3235834;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Olena Dmytrivna Kostevych;F;19;160;114,6403762;Ukraine;Shooting;Shooting Women's Air Pistol, 10 metres;Gold
Aleksandr Viktorovich Kostoglod;M;30;185;198,4160358;Russia;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Bronze
Aleksandr Viktorovich Kostoglod;M;30;185;198,4160358;Russia;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Silver
Aleksey Veniaminovich Kostygov;M;31;190;220,462262;Russia;Handball;Handball Men's Handball;Bronze
Tatyana Vladimirovna Kotova;F;27;182;130,0727346;Russia;Athletics;Athletics Women's Long Jump;Bronze
Ivn Kovcs;M;34;184;187,3929227;Hungary;Fencing;Fencing Men's epee, Team;Silver
Katalin Kovcs;F;28;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Katalin Kovcs;F;28;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Zoltn Kvg;M;25;204;291,0101858;Hungary;Athletics;Athletics Men's Discus Throw;Silver
Aleksandr Vladimirovich Kovalyov;M;29;170;154,3235834;Russia;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Bronze
Aleksandr Vladimirovich Kovalyov;M;29;170;154,3235834;Russia;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Silver
Kerstin Kowalski-El-Qalqili;F;28;176;143,3004703;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Nikolay Nikolayevich Kozlov;M;32;192;202,825281;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Anna A. Kozlova;F;31;177;136,6866024;United States;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Anna A. Kozlova;F;31;177;136,6866024;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Gyrgy Kozmann;M;26;179;187,3929227;Hungary;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
"Stavroula ""Voula"" Kozomboli";F;30;180;160,9374513;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Olesya Aleksandrovna Krasnomovets (-Forsheva);F;25;171;132,2773572;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Igor Aleksandrovich Kravtsov;M;30;192;231,4853751;Russia;Rowing;Rowing Men's Quadruple Sculls;Gold
Lenny Krayzelburg;M;28;187;191,8021679;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Kelly Kretschman;F;24;165;145,5050929;United States;Softball;Softball Women's Softball;Gold
Stefan Kretzschmar;M;31;190;209,4391489;Germany;Handball;Handball Men's Handball;Silver
Hans Thor Juul Kristensen;M;24;186;158,7328286;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Denis Ivanovich Krivoshlykov;M;33;180;187,3929227;Russia;Handball;Handball Men's Handball;Bronze
Jozef Krn;M;26;174;145,5050929;Slovakia;Judo;Judo Men's Half-Lightweight;Silver
Larisa Nikolayevna Kruglova;F;31;166;138,8912251;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Jens Kruppa;M;28;200;209,4391489;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
