Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Prapawadee Jaroenrattanatarakoon;F;24;157;119,0496215;Thailand;Weightlifting;Weightlifting Women's Featherweight;Gold
Hrachik Javakhyan;M;24;178;138,8912251;Armenia;Boxing;Boxing Men's Lightweight;Bronze
Fabrice Jeannet;M;27;193;187,3929227;France;Fencing;Fencing Men's epee, Individual;Silver
Fabrice Jeannet;M;27;193;187,3929227;France;Fencing;Fencing Men's epee, Team;Gold
Jrme Jeannet;M;31;190;187,3929227;France;Fencing;Fencing Men's epee, Team;Gold
Tony David Jeffries (Bryce-);M;23;188;178,5744322;Great Britain;Boxing;Boxing Men's Light-Heavyweight;Bronze
Pamela Jelimo (Chelimo);F;18;175;132,2773572;Kenya;Athletics;Athletics Women's 800 metres;Gold
Micha Jeliski;M;28;194;196,2114132;Poland;Rowing;Rowing Men's Quadruple Sculls;Gold
Larsen Alan Jensen;M;22;185;194,0067906;United States;Swimming;Swimming Men's 400 metres Freestyle;Bronze
Anne Jensen-van Olst;F;46;184;154,3235834;Clearwater;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Jeong Dae-Hyeon;M;29;185;216,0530168;South Korea;Baseball;Baseball Men's Baseball;Gold
Jeong Geun-U;M;25;174;165,3466965;South Korea;Baseball;Baseball Men's Baseball;Gold
Jeong Gyeong-Mi;F;23;169;171,9605644;South Korea;Judo;Judo Women's Half-Heavyweight;Bronze
Eunice Jepkorir Kertich;F;26;164;105,8218858;Kenya;Athletics;Athletics Women's 3,000 metres Steeplechase;Silver
Janeth Jepkosgei Busienei;F;24;167;103,6172631;Kenya;Athletics;Athletics Women's 800 metres;Silver
Kevin Martin Jepsen;M;24;190;213,8483941;United States;Baseball;Baseball Men's Baseball;Bronze
Jiang Lin;M;26;186;169,7559417;China;Archery;Archery Men's Team;Bronze
Jiang Tingting;F;21;175;116,8449989;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Jiang Wenwen;F;21;175;119,0496215;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Jiang Yuyuan;F;16;140;70,54792384;China;Gymnastics;Gymnastics Women's Team All-Around;Gold
Jiao Liuyang;F;17;172;138,8912251;China;Swimming;Swimming Women's 200 metres Butterfly;Silver
Carlos Jimnez Snchez;M;32;201;220,462262;Spain;Basketball;Basketball Men's Basketball;Silver
Jin Gab-Yong;M;34;182;198,4160358;South Korea;Baseball;Baseball Men's Baseball;Gold
Jin Jong-O;M;28;175;171,9605644;South Korea;Shooting;Shooting Men's Air Pistol, 10 metres;Silver
Jin Jong-O;M;28;175;171,9605644;South Korea;Shooting;Shooting Men's Free Pistol, 50 metres;Gold
Jin Ziwei;F;22;183;165,3466965;China;Rowing;Rowing Women's Quadruple Sculls;Gold
"Joo ""J"" Alves de Assis Silva";M;21;189;167,5513191;Brazil;Football;Football Men's Football;Bronze
Kari Mette Johansen;F;29;172;;Norway;Handball;Handball Women's Handball;Gold
Emma Karolina Johansson;F;24;168;119,0496215;Sweden;Cycling;Cycling Women's Road Race, Individual;Silver
Karl Thomas Conny Johansson;M;33;175;176,3698096;Sweden-2;Tennis;Tennis Men's Doubles;Silver
Shawn Machel Johnson (-East);F;16;145;90,38952742;United States;Gymnastics;Gymnastics Women's Individual All-Around;Silver
Shawn Machel Johnson (-East);F;16;145;90,38952742;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Shawn Machel Johnson (-East);F;16;145;90,38952742;United States;Gymnastics;Gymnastics Women's Floor Exercise;Silver
Shawn Machel Johnson (-East);F;16;145;90,38952742;United States;Gymnastics;Gymnastics Women's Balance Beam;Gold
Sonja Johnson;F;40;162;132,2773572;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Sheena Johnson-Tosta;F;25;165;125,6634893;United States;Athletics;Athletics Women's 400 metres Hurdles;Silver
Jennifer Claire Joines (-Tamas);F;25;191;180,7790548;United States;Volleyball;Volleyball Women's Volleyball;Silver
Cullen Andrew Jones;M;24;195;209,4391489;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Leisel Marie Jones;F;22;177;149,9143382;Australia;Swimming;Swimming Women's 100 metres Breaststroke;Gold
Leisel Marie Jones;F;22;177;149,9143382;Australia;Swimming;Swimming Women's 200 metres Breaststroke;Silver
Leisel Marie Jones;F;22;177;149,9143382;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Megan Victoria Jones;F;31;167;132,2773572;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Somjit Jongjohor;M;33;167;112,4357536;Thailand;Boxing;Boxing Men's Flyweight;Gold
Joo Hyun-Jung;F;26;165;130,0727346;South Korea;Archery;Archery Women's Team;Gold
Kara Lynn Joyce;F;22;183;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Kara Lynn Joyce;F;22;183;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Casper Jrgensen;M;22;187;198,4160358;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Morten Jrgensen;M;23;183;160,9374513;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Mirna Jukic;F;22;178;149,9143382;Austria;Swimming;Swimming Women's 100 metres Breaststroke;Bronze
Louis Richard Bruno Julie;M;30;175;119,0496215;Mauritius;Boxing;Boxing Men's Bantamweight;Bronze
"Lovieanne ""Lovie"" Jung";F;28;168;141,0958477;United States;Softball;Softball Women's Softball;Silver
"Natasha Kanani Janine ""Tasha"" Kai";F;25;170;145,5050929;United States;Football;Football Women's Football;Gold
Sani Haruna Kaita;M;22;179;160,9374513;Nigeria;Football;Football Men's Football;Silver
Irina Nikolayevna Kalentyeva;F;30;155;99,2080179;Russia;Cycling;Cycling Women's Mountainbike, Cross-Country;Bronze
Elena Kalisk;F;36;172;143,3004703;Slovakia;Canoeing;Canoeing Women's Kayak Singles, Slalom;Gold
Lesia Mykhailivna Kalytovska;F;20;174;149,9143382;Ukraine;Cycling;Cycling Women's Individual Pursuit, 3,000 metres;Bronze
Guillermo Federico Kammerichs;M;28;205;242,5084882;Argentina;Basketball;Basketball Men's Basketball;Bronze
Yevgeniya Olegovna Kanayeva;F;18;168;92,59415004;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Gold
"Giselle Andrea ""Gisi"" Kaevsky";F;23;162;114,6403762;Argentina;Hockey;Hockey Women's Hockey;Bronze
Olga Nikolayevna Kaniskina;F;23;160;94,79877266;Russia;Athletics;Athletics Women's 20 kilometres Walk;Gold
Gerd Kanter;M;29;196;275,5778275;Estonia;Athletics;Athletics Men's Discus Throw;Gold
Anastasiya Aleksandrovna Kapachinskaya;F;28;176;136,6866024;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Nikola Karabatic;M;24;194;229,2807525;France;Handball;Handball Men's Handball;Gold
Daouda Karabou;M;32;198;202,825281;France;Handball;Handball Men's Handball;Gold
Anna Vasilyevna Kareyeva;F;31;185;187,3929227;Russia;Handball;Handball Women's Handball;Silver
Ayumi Karino;F;23;160;125,6634893;Japan;Softball;Softball Women's Softball;Gold
Marina Germanovna Karpunina;F;24;178;160,9374513;Russia;Basketball;Basketball Women's Basketball;Bronze
Alyona Vladimirovna Kartashova;F;26;164;138,8912251;Russia;Wrestling;Wrestling Women's Middleweight, Freestyle;Silver
Tams Kss;M;32;200;207,2345263;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Takehiro Kashima;M;28;168;136,6866024;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Fergus Kavanagh;M;23;182;165,3466965;Australia;Hockey;Hockey Men's Hockey;Bronze
Tsegaye Kebede Wordofa;M;21;158;110,231131;Ethiopia;Athletics;Athletics Men's Marathon;Bronze
Florian Keller;M;26;183;185,1883001;Germany;Hockey;Hockey Men's Hockey;Gold
Klete D. Keller;M;26;198;213,8483941;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Gloria E. Kemasuode (-Ubiebor);F;28;150;143,3004703;Nigeria;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Heike Kemmer;F;46;172;138,8912251;Germany;Equestrianism;Equestrianism Mixed Dressage, Individual;Bronze
Heike Kemmer;F;46;172;138,8912251;Bonaparte;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Christophe Maurice Jean Kemp;M;33;193;231,4853751;France;Handball;Handball Men's Handball;Gold
Jason Francis Kenny;M;20;178;178,5744322;Great Britain;Cycling;Cycling Men's Sprint;Silver
Jason Francis Kenny;M;20;178;178,5744322;Great Britain;Cycling;Cycling Men's Team Sprint;Gold
Georgy Vazhayevich Ketoyev;M;22;190;220,462262;Russia;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Vadim Anatolyevich Khamuttskikh;M;38;196;187,3929227;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Olha Hennadivna Kharlan;F;17;172;149,9143382;Ukraine;Fencing;Fencing Women's Sabre, Team;Gold
Elvira Ramilevna Khasyanova;F;27;163;125,6634893;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Yekaterina Viktorovna Khilko;F;26;163;112,4357536;Uzbekistan;Trampolining;Trampolining Women's Individual;Bronze
Yekaterina Anatolyevna Khodotovich-Karsten;F;36;185;176,3698096;Belarus;Rowing;Rowing Women's Single Sculls;Bronze
Olena Mykolavna Khomrova;F;21;166;119,0496215;Ukraine;Fencing;Fencing Women's Sabre, Team;Gold
Nataliya Valeryevna Khoronenko-Mikhnevich;F;26;180;198,4160358;Belarus;Athletics;Athletics Women's Shot Put;Silver
Aslanbek Vitalyevich Khushtov;M;28;180;211,6437715;Russia;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Gold
Jason Frederick Kidd;M;35;193;211,6437715;United States;Basketball;Basketball Men's Basketball;Gold
Markis Kido;M;23;165;136,6866024;Indonesia-1;Badminton;Badminton Men's Doubles;Gold
Yakup Kili;M;22;177;125,6634893;Turkey;Boxing;Boxing Men's Featherweight;Bronze
Kim Cha-Yeon;F;27;173;147,7097155;South Korea;Handball;Handball Women's Handball;Bronze
Kim Dong-Ju;M;32;180;216,0530168;South Korea;Baseball;Baseball Men's Baseball;Gold
Kim Gwang-Hyeon;M;20;187;182,9836775;South Korea;Baseball;Baseball Men's Baseball;Gold
Kim Gyeong-A;F;31;165;127,868112;South Korea;Table Tennis;Table Tennis Women's Team;Bronze
Kim Hyeon-Su;M;20;188;209,4391489;South Korea;Baseball;Baseball Men's Baseball;Gold
Kim Jae-Beom;M;23;180;171,9605644;South Korea;Judo;Judo Men's Half-Middleweight;Silver
Kim Jeong-Ju;M;26;170;152,1189608;South Korea;Boxing;Boxing Men's Welterweight;Bronze
Kim Min-Jae;M;35;181;180,7790548;South Korea;Baseball;Baseball Men's Baseball;Gold
Kim Nam-Sun;F;27;170;154,3235834;South Korea;Handball;Handball Women's Handball;Bronze
Kim On-A;F;19;169;136,6866024;South Korea;Handball;Handball Women's Handball;Bronze
Nienke Kingma;F;26;182;165,3466965;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Jill Kintner;F;26;170;141,0958477;United States;Cycling;Cycling Women's BMX;Bronze
Eliud Kipchoge;M;23;167;125,6634893;Kenya;Athletics;Athletics Men's 5,000 metres;Silver
Asbel Kipruto Kiprop;M;19;190;138,8912251;Kenya;Athletics;Athletics Men's 1,500 metres;Gold
Brimin Kiprop (Firmin-) Kipruto;M;23;175;121,2542441;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Gold
Martin Kirketerp Ibsen;M;26;188;176,3698096;Denmark;Sailing;Sailing Mixed Skiff;Gold
Gbor Kis;M;25;194;253,5316013;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
"Gergely ""Gerg"" Kiss";M;30;198;246,9177334;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Tams Kiss;M;21;175;160,9374513;Hungary;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Kosuke Kitajima;M;25;178;160,9374513;Japan;Swimming;Swimming Men's 100 metres Breaststroke;Gold
Kosuke Kitajima;M;25;178;160,9374513;Japan;Swimming;Swimming Men's 200 metres Breaststroke;Gold
Kosuke Kitajima;M;25;178;160,9374513;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Benjamin Philip Kleibrink;M;23;174;143,3004703;Germany;Fencing;Fencing Men's Foil, Individual;Gold
Noeki Klein;F;25;179;176,3698096;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Sascha Klein;M;22;173;156,528206;Germany;Diving;Diving Men's Synchronized Platform;Silver
Ingrid Klimke (-Busacker);F;40;172;127,868112;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Dmitry Vyacheslavovich Klokov;M;25;182;231,4853751;Russia;Weightlifting;Weightlifting Men's Heavyweight;Silver
Roger Kluge;M;22;191;187,3929227;Germany;Cycling;Cycling Men's Points Race;Silver
Brandon Michael Knight;M;32;183;200,6206584;United States;Baseball;Baseball Men's Baseball;Bronze
Mark William Knowles;M;23;183;163,1420739;Australia;Hockey;Hockey Men's Hockey;Bronze
Bronwen Knox;F;22;182;194,0067906;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Emma Knox;F;30;173;154,3235834;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Kim Wraae Knudsen;M;30;183;176,3698096;Denmark;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Silver
Micah Kemboi Kogo;M;22;170;132,2773572;Kenya;Athletics;Athletics Men's 10,000 metres;Bronze
Melanie Kok;F;24;167;125,6634893;Canada;Rowing;Rowing Women's Lightweight Double Sculls;Bronze
"Renata Aparacida ""Kki"" da Costa";F;22;171;149,9143382;Brazil;Football;Football Women's Football;Silver
Marek Antoni Kolbowicz;M;37;185;200,6206584;Poland;Rowing;Rowing Men's Quadruple Sculls;Gold
Aleksandr Viktorovich Kolobnev;M;27;174;141,0958477;Russia;Cycling;Cycling Men's Road Race, Individual;Bronze
Simone Margareta Koot;F;27;173;143,3004703;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
"Michael Paul ""Mike"" Koplove";M;31;178;169,7559417;United States;Baseball;Baseball Men's Baseball;Bronze
Oliver Korn;M;24;181;167,5513191;Germany;Hockey;Hockey Men's Hockey;Gold
Aleksandr Vladimirovich Korneyev;M;27;200;211,6437715;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Olha Vasylivna Korobka;F;22;181;368,1719775;Ukraine;Weightlifting;Weightlifting Women's Super-Heavyweight;Silver
Adam Marek Korol;M;33;193;202,825281;Poland;Rowing;Rowing Men's Quadruple Sculls;Gold
Ilona Kalyuvna Korstin;F;28;183;147,7097155;Russia;Basketball;Basketball Women's Basketball;Bronze
Aleksandr Borisovich Kosaryev;M;30;203;209,4391489;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
David Kosteleck;M;33;190;205,0299037;Czech Republic;Shooting;Shooting Men's Trap;Gold
Aleksandr Viktorovich Kostoglod;M;34;185;198,4160358;Russia;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Silver
Ditte Kotzian;F;29;178;136,6866024;Germany;Diving;Diving Women's Synchronized Springboard;Bronze
Katalin Kovcs;F;32;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Katalin Kovcs;F;32;173;141,0958477;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Ainrs Kovals;M;26;192;242,5084882;Latvia;Athletics;Athletics Men's Javelin Throw;Silver
Danuta Kozk;F;21;168;138,8912251;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Gyrgy Kozmann;M;30;179;187,3929227;Hungary;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Primo Kozmus;M;28;188;246,9177334;Slovenia;Athletics;Athletics Men's Hammer Throw;Gold
Szymon Piotr Koecki;M;26;181;207,2345263;Poland;Weightlifting;Weightlifting Men's Middle-Heavyweight;Silver
Annike Berit Krahn;F;23;173;134,4819798;Germany;Football;Football Women's Football;Bronze
Laura Kraut (Kent-);F;42;168;127,868112;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Virginia Kravarioti;F;24;166;152,1189608;Greece;Sailing;Sailing Women's Three Person Keelboat;Bronze
Andrey Sergeyevich Kravchenko;M;22;191;182,9836775;Belarus;Athletics;Athletics Men's Decathlon;Silver
Adam Kreek;M;27;193;200,6206584;Canada;Rowing;Rowing Men's Coxed Eights;Gold
Kelly Kretschman;F;28;165;145,5050929;United States;Softball;Softball Women's Softball;Silver
Ranomi Kromowidjojo;F;17;180;158,7328286;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
"James W. ""J. W."" Krumpholz";M;20;191;205,0299037;United States;Water Polo;Water Polo Men's Water Polo;Silver
Edvinas Krungolcas;M;35;187;174,165187;Lithuania;Modern Pentathlon;Modern Pentathlon Men's Individual;Silver
Besik Serodinovich Kudukhov;M;21;168;132,2773572;Russia;Wrestling;Wrestling Men's Featherweight, Freestyle;Bronze
Aleksey Vladimirovich Kuleshov;M;29;206;211,6437715;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Sushil Kumar Solanki;M;25;166;145,5050929;India;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Yury Aleksandrovich Kunakov;M;18;170;132,2773572;Russia;Diving;Diving Men's Synchronized Springboard;Silver
Kateina Krkov-Emmons;F;24;165;116,8449989;Czech Republic;Shooting;Shooting Women's Air Rifle, 10 metres;Gold
Kateina Krkov-Emmons;F;24;165;116,8449989;Czech Republic;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Silver
Olga Petrovna Kuzhela;F;22;172;121,2542441;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Marina Vyacheslavovna Kuzina;F;23;195;189,5975453;Russia;Basketball;Basketball Women's Basketball;Bronze
Mikhail Nikolayevich Kuznetsov;M;23;174;158,7328286;Russia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Manuchar K'virk'velia;M;29;170;163,1420739;Georgia;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Gold
Illia Olehovych Kvasha;M;20;176;160,9374513;Ukraine;Diving;Diving Men's Synchronized Springboard;Bronze
Miguel La Hera Betancourt;M;23;192;202,825281;Cuba;Baseball;Baseball Men's Baseball;Silver
Andry Laffita Hernndez;M;30;162;112,4357536;Cuba;Boxing;Boxing Men's Flyweight;Silver
Yevgeny Aleksandrovich Lagunov;M;22;188;169,7559417;Russia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Eric Lamaze;M;40;170;143,3004703;Canada;Equestrianism;Equestrianism Mixed Jumping, Individual;Gold
Eric Lamaze;M;40;170;143,3004703;Canada;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Stephen Lambert;M;28;188;191,8021679;Australia;Hockey;Hockey Men's Hockey;Bronze
"Richard Edward ""Rich"" Lambourne";M;33;190;220,462262;United States;Volleyball;Volleyball Men's Volleyball;Gold
Yevgeniya Alekseyevna Lamonova;F;24;174;136,6866024;Russia;Fencing;Fencing Women's Foil, Team;Gold
Nancy Jebet Langat;F;26;153;108,0265084;Kenya;Athletics;Athletics Women's 1,500 metres;Gold
Santiago Ral Lange Roberti;M;46;184;160,9374513;Argentina;Sailing;Sailing Mixed Multihull;Bronze
"Matthew Keir ""Matt"" Langridge";M;25;194;205,0299037;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
Dmitry Valentinovich Lapikov;M;26;183;231,4853751;Russia;Weightlifting;Weightlifting Men's Heavyweight;Bronze
"Matthew Vincent ""Matt"" LaPorta";M;23;188;216,0530168;United States;Baseball;Baseball Men's Baseball;Bronze
Lauren Lappin;F;24;170;160,9374513;United States;Softball;Softball Women's Softball;Silver
Dmitry Olegovich Larionov;M;22;185;185,1883001;Russia;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Eirik Vers Larsen;M;32;182;176,3698096;Norway;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Silver
Tonje Larsen;F;33;184;158,7328286;Norway;Handball;Handball Women's Handball;Gold
Gustav Erik Larsson;M;27;195;169,7559417;Sweden;Cycling;Cycling Men's Individual Time Trial;Silver
Simone Laudehr;F;22;175;123,4588667;Germany;Football;Football Women's Football;Bronze
Andrew George Lauterstein;M;21;190;198,4160358;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Andrew George Lauterstein;M;21;190;198,4160358;Australia;Swimming;Swimming Men's 100 metres Butterfly;Bronze
Andrew George Lauterstein;M;21;190;198,4160358;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Elise Mary Laverick (-Sherwell);F;33;178;160,9374513;Great Britain;Rowing;Rowing Women's Double Sculls;Bronze
Ezequiel Ivn Lavezzi;M;23;173;165,3466965;Argentina;Football;Football Men's Football;Gold
"Jacqueline ""Jacqui"" Lawrence";F;26;176;136,6866024;Australia;Canoeing;Canoeing Women's Kayak Singles, Slalom;Silver
Kara Marie Lawson;F;27;175;165,3466965;United States;Basketball;Basketball Women's Basketball;Gold
Pedro Luis Lazo Iglesias;M;35;192;235,8946203;Cuba;Baseball;Baseball Men's Baseball;Silver
Latitia Le Corguill;F;22;163;138,8912251;France;Cycling;Cycling Women's BMX;Silver
Tatyana Romanovna Lebedeva;F;32;170;134,4819798;Russia;Athletics;Athletics Women's Long Jump;Silver
Tatyana Romanovna Lebedeva;F;32;170;134,4819798;Russia;Athletics;Athletics Women's Triple Jump;Silver
